easting,northing,SEA area
380000,790000,1
360000,780000,1
370000,780000,1
380000,780000,1
350000,770000,1
360000,770000,1
370000,770000,1
380000,770000,1
330000,760000,1
340000,760000,1
350000,760000,1
360000,760000,1
370000,760000,1
310000,750000,1
320000,750000,1
330000,750000,1
340000,750000,1
350000,750000,1
360000,750000,1
370000,750000,1
280000,740000,1
290000,740000,1
300000,740000,1
310000,740000,1
320000,740000,1
330000,740000,1
340000,740000,1
350000,740000,1
360000,740000,1
260000,730000,1
270000,730000,1
280000,730000,1
290000,730000,1
300000,730000,1
310000,730000,1
320000,730000,1
330000,730000,1
340000,730000,1
350000,730000,1
260000,720000,1
270000,720000,1
280000,720000,1
290000,720000,1
300000,720000,1
310000,720000,1
320000,720000,1
330000,720000,1
340000,720000,1
350000,720000,1
360000,720000,1
240000,710000,1
250000,710000,1
260000,710000,1
270000,710000,1
280000,710000,1
290000,710000,1
300000,710000,1
310000,710000,1
320000,710000,1
330000,710000,1
340000,710000,1
350000,710000,1
360000,710000,1
230000,700000,1
240000,700000,1
250000,700000,1
260000,700000,1
270000,700000,1
280000,700000,1
290000,700000,1
300000,700000,1
310000,700000,1
320000,700000,1
330000,700000,1
210000,690000,1
220000,690000,1
230000,690000,1
240000,690000,1
250000,690000,1
260000,690000,1
270000,690000,1
280000,690000,1
290000,690000,1
300000,690000,1
310000,690000,1
320000,690000,1
330000,690000,1
340000,690000,1
350000,690000,1
360000,690000,1
200000,680000,1
210000,680000,1
220000,680000,1
230000,680000,1
240000,680000,1
250000,680000,1
260000,680000,1
270000,680000,1
280000,680000,1
290000,680000,1
300000,680000,1
310000,680000,1
320000,680000,1
330000,680000,1
340000,680000,1
350000,680000,1
360000,680000,1
370000,680000,1
200000,670000,1
210000,670000,1
220000,670000,1
230000,670000,1
240000,670000,1
250000,670000,1
260000,670000,1
270000,670000,1
280000,670000,1
290000,670000,1
300000,670000,1
310000,670000,1
320000,670000,1
330000,670000,1
340000,670000,1
350000,670000,1
360000,670000,1
200000,660000,1
210000,660000,1
220000,660000,1
230000,660000,1
240000,660000,1
250000,660000,1
260000,660000,1
270000,660000,1
280000,660000,1
290000,660000,1
300000,660000,1
310000,660000,1
320000,660000,1
330000,660000,1
340000,660000,1
350000,660000,1
210000,650000,1
220000,650000,1
230000,650000,1
240000,650000,1
250000,650000,1
260000,650000,1
270000,650000,1
280000,650000,1
290000,650000,1
300000,650000,1
310000,650000,1
320000,650000,1
330000,650000,1
220000,640000,1
230000,640000,1
240000,640000,1
250000,640000,1
260000,640000,1
270000,640000,1
280000,640000,1
290000,640000,1
300000,640000,1
310000,640000,1
230000,630000,1
240000,630000,1
250000,630000,1
260000,630000,1
270000,630000,1
280000,630000,1
290000,630000,1
220000,620000,1
230000,620000,1
240000,620000,1
250000,620000,1
260000,620000,1
270000,620000,1
280000,620000,1
210000,610000,1
220000,610000,1
230000,610000,1
240000,610000,1
250000,610000,1
260000,610000,1
400000,610000,3
410000,610000,3
420000,610000,3
210000,600000,1
220000,600000,1
230000,600000,1
240000,600000,1
390000,600000,3
400000,600000,3
410000,600000,3
420000,600000,3
430000,600000,3
200000,590000,1
210000,590000,1
220000,590000,1
320000,590000,2
330000,590000,2
340000,590000,2
350000,590000,2
390000,590000,3
400000,590000,3
410000,590000,3
420000,590000,3
430000,590000,3
200000,580000,1
210000,580000,1
320000,580000,2
350000,580000,2
380000,580000,3
390000,580000,3
400000,580000,3
410000,580000,3
420000,580000,3
430000,580000,3
320000,570000,2
340000,570000,2
350000,570000,2
380000,570000,3
390000,570000,3
400000,570000,3
410000,570000,3
420000,570000,3
430000,570000,3
440000,570000,3
310000,560000,2
330000,560000,2
340000,560000,2
380000,560000,3
390000,560000,3
400000,560000,3
410000,560000,3
420000,560000,3
430000,560000,3
440000,560000,3
310000,550000,2
320000,550000,2
330000,550000,2
380000,550000,3
390000,550000,3
400000,550000,3
410000,550000,3
420000,550000,3
430000,550000,3
440000,550000,3
310000,540000,2
320000,540000,2
330000,540000,2
380000,540000,3
390000,540000,3
400000,540000,3
410000,540000,3
420000,540000,3
430000,540000,3
440000,540000,3
450000,540000,3
290000,530000,2
300000,530000,2
380000,530000,3
390000,530000,3
400000,530000,3
410000,530000,3
420000,530000,3
430000,530000,3
440000,530000,3
450000,530000,3
460000,530000,3
470000,530000,3
290000,520000,2
300000,520000,2
380000,520000,3
390000,520000,3
400000,520000,3
410000,520000,3
420000,520000,3
430000,520000,3
440000,520000,3
450000,520000,3
460000,520000,3
470000,520000,3
480000,520000,3
490000,520000,3
290000,510000,2
300000,510000,2
380000,510000,3
390000,510000,3
400000,510000,3
410000,510000,3
420000,510000,3
430000,510000,3
440000,510000,3
450000,510000,3
460000,510000,3
470000,510000,3
480000,510000,3
490000,510000,3
370000,500000,3
380000,500000,3
390000,500000,3
400000,500000,3
410000,500000,3
420000,500000,3
430000,500000,3
440000,500000,3
450000,500000,3
460000,500000,3
470000,500000,3
480000,500000,3
490000,500000,3
500000,500000,3
370000,490000,3
380000,490000,3
390000,490000,3
400000,490000,3
410000,490000,3
420000,490000,3
430000,490000,3
440000,490000,3
450000,490000,3
460000,490000,3
470000,490000,3
480000,490000,3
490000,490000,3
500000,490000,3
510000,490000,3
310000,480000,2
340000,480000,2
350000,480000,2
360000,480000,2
370000,480000,3
380000,480000,3
390000,480000,3
400000,480000,3
410000,480000,3
420000,480000,3
430000,480000,3
440000,480000,3
450000,480000,3
460000,480000,3
470000,480000,3
480000,480000,3
490000,480000,3
500000,480000,3
510000,480000,3
520000,480000,3
310000,470000,2
320000,470000,2
340000,470000,2
350000,470000,2
360000,470000,2
370000,470000,3
380000,470000,3
390000,470000,3
400000,470000,3
410000,470000,3
420000,470000,3
430000,470000,3
440000,470000,3
450000,470000,3
460000,470000,3
470000,470000,3
480000,470000,3
490000,470000,3
500000,470000,3
510000,470000,3
520000,470000,3
340000,460000,2
350000,460000,2
360000,460000,2
370000,460000,2
380000,460000,3
390000,460000,3
400000,460000,3
410000,460000,3
420000,460000,3
430000,460000,3
440000,460000,3
450000,460000,3
460000,460000,3
470000,460000,3
480000,460000,3
490000,460000,3
500000,460000,3
510000,460000,3
520000,460000,3
330000,450000,2
340000,450000,2
350000,450000,2
360000,450000,2
370000,450000,2
380000,450000,2
390000,450000,3
400000,450000,3
410000,450000,3
420000,450000,3
430000,450000,3
440000,450000,3
450000,450000,3
460000,450000,3
470000,450000,3
480000,450000,3
490000,450000,3
500000,450000,3
510000,450000,3
520000,450000,3
330000,440000,2
340000,440000,2
350000,440000,2
360000,440000,2
370000,440000,2
380000,440000,2
390000,440000,3
400000,440000,3
410000,440000,3
420000,440000,3
430000,440000,3
440000,440000,3
450000,440000,3
460000,440000,3
470000,440000,3
480000,440000,3
490000,440000,3
500000,440000,3
510000,440000,3
520000,440000,3
530000,440000,3
330000,430000,2
340000,430000,2
350000,430000,2
360000,430000,2
370000,430000,2
380000,430000,2
390000,430000,3
400000,430000,3
410000,430000,3
420000,430000,3
430000,430000,3
440000,430000,3
450000,430000,3
460000,430000,3
470000,430000,3
480000,430000,3
490000,430000,3
500000,430000,3
510000,430000,3
520000,430000,3
530000,430000,3
320000,420000,2
330000,420000,2
340000,420000,2
350000,420000,2
360000,420000,2
370000,420000,2
380000,420000,2
390000,420000,2
400000,420000,3
410000,420000,3
420000,420000,3
430000,420000,3
440000,420000,3
450000,420000,3
460000,420000,3
470000,420000,3
480000,420000,3
490000,420000,3
500000,420000,3
510000,420000,3
520000,420000,3
530000,420000,3
540000,420000,3
320000,410000,2
330000,410000,2
340000,410000,2
350000,410000,2
360000,410000,2
370000,410000,2
380000,410000,2
390000,410000,2
400000,410000,3
410000,410000,3
420000,410000,3
430000,410000,3
440000,410000,3
450000,410000,3
460000,410000,3
470000,410000,3
480000,410000,3
490000,410000,3
500000,410000,3
510000,410000,3
520000,410000,3
530000,410000,3
540000,410000,3
320000,400000,2
330000,400000,2
340000,400000,2
350000,400000,2
360000,400000,2
370000,400000,2
380000,400000,2
390000,400000,2
400000,400000,3
410000,400000,3
420000,400000,3
430000,400000,3
440000,400000,3
450000,400000,3
460000,400000,3
470000,400000,3
480000,400000,3
490000,400000,3
500000,400000,3
510000,400000,3
520000,400000,3
530000,400000,3
540000,400000,3
300000,390000,4
310000,390000,4
320000,390000,2
330000,390000,2
340000,390000,2
350000,390000,2
360000,390000,2
370000,390000,2
380000,390000,2
390000,390000,2
400000,390000,3
410000,390000,3
420000,390000,3
430000,390000,3
440000,390000,3
450000,390000,3
460000,390000,3
470000,390000,3
480000,390000,3
490000,390000,3
500000,390000,3
510000,390000,3
520000,390000,3
530000,390000,3
540000,390000,3
550000,390000,3
300000,380000,4
310000,380000,4
320000,380000,4
330000,380000,2
340000,380000,2
350000,380000,2
360000,380000,2
370000,380000,2
380000,380000,2
390000,380000,2
400000,380000,3
410000,380000,3
420000,380000,3
430000,380000,3
440000,380000,3
450000,380000,3
460000,380000,3
470000,380000,3
480000,380000,3
490000,380000,3
500000,380000,3
510000,380000,3
520000,380000,3
530000,380000,3
540000,380000,3
550000,380000,3
310000,370000,4
320000,370000,4
330000,370000,4
340000,370000,2
350000,370000,2
360000,370000,2
370000,370000,2
380000,370000,2
390000,370000,2
400000,370000,2
410000,370000,3
420000,370000,3
430000,370000,3
440000,370000,3
450000,370000,3
460000,370000,3
470000,370000,3
480000,370000,3
490000,370000,3
500000,370000,3
510000,370000,3
520000,370000,3
530000,370000,3
540000,370000,3
550000,370000,3
310000,360000,4
320000,360000,4
330000,360000,4
340000,360000,4
350000,360000,2
360000,360000,2
370000,360000,2
380000,360000,2
390000,360000,2
400000,360000,2
410000,360000,2
420000,360000,3
430000,360000,3
440000,360000,3
450000,360000,3
460000,360000,3
470000,360000,3
480000,360000,3
490000,360000,3
500000,360000,3
510000,360000,3
520000,360000,3
530000,360000,3
540000,360000,3
550000,360000,3
320000,350000,4
330000,350000,4
340000,350000,4
350000,350000,2
360000,350000,2
370000,350000,2
380000,350000,2
390000,350000,2
400000,350000,2
410000,350000,2
420000,350000,3
430000,350000,3
440000,350000,3
450000,350000,3
460000,350000,3
470000,350000,3
480000,350000,3
490000,350000,3
500000,350000,3
510000,350000,3
520000,350000,3
530000,350000,3
540000,350000,3
560000,350000,3
570000,350000,3
580000,350000,3
590000,350000,3
600000,350000,3
610000,350000,3
620000,350000,3
320000,340000,2
330000,340000,2
340000,340000,2
350000,340000,2
360000,340000,2
370000,340000,2
380000,340000,2
390000,340000,2
400000,340000,2
410000,340000,2
420000,340000,3
430000,340000,3
440000,340000,3
450000,340000,3
460000,340000,3
470000,340000,3
480000,340000,3
490000,340000,3
500000,340000,3
510000,340000,3
520000,340000,3
530000,340000,3
540000,340000,3
560000,340000,3
570000,340000,3
580000,340000,3
590000,340000,3
600000,340000,3
610000,340000,3
620000,340000,3
630000,340000,3
320000,330000,2
330000,330000,2
340000,330000,2
350000,330000,2
360000,330000,2
370000,330000,2
380000,330000,2
390000,330000,2
400000,330000,2
410000,330000,2
420000,330000,2
430000,330000,3
440000,330000,3
450000,330000,3
460000,330000,3
470000,330000,3
480000,330000,3
490000,330000,3
500000,330000,3
510000,330000,3
520000,330000,3
530000,330000,3
540000,330000,3
550000,330000,3
560000,330000,3
570000,330000,3
580000,330000,3
590000,330000,3
600000,330000,3
610000,330000,3
620000,330000,3
630000,330000,3
640000,330000,3
